y_true,y_pred
33.85629,33.47296
29.968048,29.769629
36.936775,36.090195
34.959244,34.350212
39.349976,39.71534
17.7741,17.689419
13.950106,13.4557705
34.794075,34.209103
31.873632,31.483728
21.410246,21.275887
9.351753,9.669875
21.549065,21.275887
39.231068,39.765686
36.15306,36.417557
40.737682,40.675056
22.630491,22.196594
10.269612,10.52212
29.99854,29.542837
32.384,32.319725
10.54562,10.381628
27.547308,27.555264
20.60501,20.532835
26.317272,26.584854
12.5719385,12.817506
36.436035,36.111595
10.952679,10.585327
15.554555,15.438314
31.624146,31.373566
40.81308,40.28717
12.881249,12.211082
30.408579,30.63789
21.599125,21.714352
11.770508,11.3689165
36.25242,35.99128
24.116055,24.65147
37.590485,37.50759
17.566927,17.658384
32.24976,32.29652
8.350994,8.688309
19.069191,19.445923
13.897781,13.841281
22.404415,22.298141
36.08952,36.06331
37.15125,37.781677
14.989924,14.326893
34.741024,34.40468
8.422647,8.577738
16.805157,16.271385
40.809917,40.42315
12.665375,12.598381
32.32415,32.519943
19.864845,19.624147
11.954343,11.268658
23.632067,23.661232
23.975525,23.659119
25.794203,25.29367
40.334747,40.533165
22.347654,22.345915
34.86133,34.40468
17.938795,17.68433
41.139053,41.56787
37.919983,37.947834
24.09497,24.419182
11.40295,11.542469
23.00693,23.594212
36.420376,36.090195
29.070566,29.712742
14.418712,14.465023
31.70933,31.42287
37.994965,38.023975
27.052305,27.609941
18.460184,18.649582
10.64416,10.643696
13.719421,13.7037325
19.741915,19.743847
35.06844,35.503345
36.0131,36.04
16.687967,16.326958
33.869087,33.47296
13.627265,13.383726
34.27217,34.213753
33.342148,33.34797
36.63027,36.27018
22.212734,22.285934
9.409723,9.483715
13.880525,13.84128
22.751698,21.913916
10.149455,10.643696
41.294598,41.28807
28.251083,28.39019
25.029234,25.383158
29.27793,29.89386
24.3781,24.632383
13.928957,13.561611
32.687843,32.55097
18.923761,18.568804
28.5158,28.582687
27.772736,27.976643
24.21649,24.508835
16.902908,16.336464
9.696972,9.430395
36.778618,36.01286
33.059334,33.28754
15.552385,15.380169
40.510292,40.392876
16.905416,15.879608
23.539238,23.661232
32.74321,32.55097
26.435896,26.742983
36.670204,36.06331
37.86799,37.64492
38.46731,38.8601
12.466702,12.8695965
33.670624,33.49477
26.817392,26.677996
20.503262,20.43349
37.997112,37.795593
25.661886,25.271236
33.382523,33.250267
9.140974,9.483715
13.071193,13.790934
39.433094,39.58018
27.6134,27.871132
8.377161,8.577738
18.474224,18.191563
31.715147,31.779568
21.091997,21.098022
41.193962,41.558487
22.004513,22.196594
9.131051,9.430394
15.748383,15.562046
23.103039,23.710854
28.132765,28.42518
15.183317,15.572733
24.423597,24.486736
30.639645,30.648853
35.792393,35.151722
31.828663,31.54514
26.631784,26.615135
14.223237,14.573273
22.30141,22.285225
38.981636,38.65925
34.38745,34.422157
8.54892,8.628742
23.372147,23.60249
