y_true,y_pred
28.0,31.234396
37.0,36.339985
25.0,25.010302
22.0,22.639338
13.0,11.164416
39.0,38.584583
14.0,14.604006
36.0,37.064903
30.0,30.528717
10.0,10.234309
18.0,18.508825
20.0,20.104002
14.0,15.61566
10.0,9.988149
17.0,17.006163
9.0,9.346146
22.0,22.58933
19.0,18.346077
20.0,20.125
21.0,20.364023
31.0,30.609266
17.0,16.441893
42.0,37.61864
31.0,28.745993
28.0,27.917448
10.0,10.344828
12.0,12.869424
33.0,34.375347
18.0,17.362112
41.0,38.562843
42.0,43.181713
13.0,12.759058
23.0,23.268559
29.0,29.237122
24.0,26.043566
14.0,13.908825
23.0,22.311182
19.0,17.509504
39.0,38.687912
17.0,17.870022
23.0,23.050108
22.0,22.422087
33.0,34.85697
21.0,19.897173
39.0,39.849255
22.0,23.827326
30.0,29.767044
25.0,26.065321
36.0,35.46401
11.0,10.987553
26.0,25.128859
15.0,14.80591
35.0,32.408203
12.0,12.280672
34.0,33.116005
20.0,19.347473
24.0,22.907015
41.0,40.135147
27.0,29.725391
8.0,7.8124804
21.0,20.31767
25.0,25.248558
35.0,35.28248
34.0,31.312315
17.0,17.290222
16.0,15.926177
10.0,10.232283
8.0,7.484345
20.0,19.556938
8.0,8.183825
15.0,14.949276
13.0,12.765913
12.0,12.569518
38.0,38.76193
34.0,34.395298
18.0,18.400257
41.0,39.029022
20.0,17.939508
40.0,39.705498
14.0,14.798282
39.0,39.53881
15.0,14.486085
25.0,26.51335
23.0,22.892942
41.0,40.208485
13.0,12.860558
29.0,27.633732
40.0,40.28415
27.0,27.870672
30.0,29.310528
33.0,33.892773
12.0,12.134226
14.0,14.2187
10.0,10.037593
14.0,13.777359
27.0,27.127028
8.0,8.220402
19.0,19.815252
37.0,36.355858
9.0,8.597685
21.0,19.645731
42.0,41.787582
8.0,8.33866
9.0,8.489148
18.0,18.19261
21.0,20.83426
17.0,16.842094
9.0,9.017891
33.0,34.25803
30.0,30.446468
35.0,35.61081
17.0,16.639097
29.0,28.695784
36.0,36.130257
18.0,18.325941
27.0,27.454374
8.0,8.485084
15.0,14.814744
41.0,41.858307
16.0,15.11438
38.0,36.9312
11.0,10.591648
23.0,22.945152
29.0,30.157127
25.0,23.665857
24.0,24.200186
34.0,34.680275
19.0,17.70659
13.0,12.882275
28.0,28.953678
34.0,30.986023
25.0,26.549353
31.0,30.956425
37.0,36.779205
27.0,27.75781
10.0,10.708127
23.0,22.409237
10.0,8.1167
9.0,8.927458
25.0,24.468079
31.0,31.13381
21.0,20.504223
38.0,37.48568
