y_true,y_pred
16.807634,16.600485
39.07157,39.60566
15.655799,15.564979
19.848862,19.34218
16.407051,16.737177
8.223059,8.547085
16.319069,16.468752
9.385058,9.626038
38.79952,38.7705
19.697784,19.337225
11.859752,11.589874
41.63656,41.650673
19.171066,19.315887
15.685235,15.615229
27.750439,27.596148
35.490227,35.35875
31.634848,31.269236
29.208576,29.672228
14.553435,14.889806
18.014471,18.369349
21.399885,21.838625
28.131247,28.524672
8.2462435,8.590507
8.9061775,8.312997
33.385117,33.582375
41.993923,41.26407
12.16326,12.559726
33.590393,33.686447
13.497539,13.252196
9.956095,9.624772
33.54613,33.673874
18.643936,18.392088
28.438879,28.55227
40.34688,40.570404
12.84986,12.542672
21.650608,21.73411
24.358152,24.376783
27.991938,27.661337
13.441806,13.273966
21.053646,21.88344
34.345715,34.526627
29.791185,29.548016
14.907083,14.673661
19.624527,19.506035
27.922533,27.627333
21.44779,21.728724
31.901682,31.203535
24.374998,24.491402
32.5666,32.700043
40.10124,40.570404
24.097387,24.325125
30.704514,30.186094
29.40488,29.325634
16.563734,16.439615
38.50817,38.846268
31.841463,31.100758
22.474598,22.585243
35.494152,35.554733
8.89929,8.612702
28.165112,28.53644
38.681114,38.79923
37.73504,37.155964
10.07687,10.568168
31.975119,31.206835
20.030317,20.184385
37.242035,37.224594
8.337726,8.538364
17.210796,17.52135
11.412496,11.379333
18.183432,18.582884
25.592442,25.348356
24.49389,24.617083
23.673847,23.380283
16.871563,16.43795
41.110043,41.541016
31.542421,31.207312
37.238964,37.222103
41.005424,41.559196
26.53871,26.711668
29.361607,29.548016
31.814007,31.160564
34.901375,34.49638
14.131311,14.673661
18.285378,18.398033
24.425486,24.131124
22.66835,22.776552
36.203503,36.334293
40.695843,40.70727
33.756824,33.61589
28.045305,28.53644
22.619946,22.428082
20.170927,20.356657
40.053703,40.556187
19.569973,19.34218
30.627413,30.114231
17.347862,17.413992
19.34048,18.908731
34.710747,34.54914
32.99819,32.85001
14.531585,14.176192
13.841072,12.735832
31.782005,31.160564
12.589173,12.210954
8.611642,8.547085
17.048267,17.119816
12.261196,12.210955
34.483234,34.45391
18.374882,18.58532
37.31696,37.355232
33.06187,33.673874
34.71501,34.55449
13.738282,13.104744
13.868859,13.252814
8.293177,8.538364
26.131643,26.736788
32.79743,32.850006
13.7120905,13.104744
23.205553,23.475569
21.98043,21.551376
33.85629,33.582375
29.968048,29.420902
36.936775,36.276405
34.959244,34.40641
39.349976,39.67852
17.7741,17.517326
13.950106,13.205744
34.794075,34.64654
31.873632,31.175508
21.410246,21.595385
9.351753,9.973941
21.549065,21.595385
39.231068,39.76091
36.15306,36.303543
40.737682,40.519333
22.630491,22.62411
10.269612,10.419751
29.99854,29.48105
32.384,32.84255
10.54562,10.47943
27.547308,27.630419
20.60501,20.408106
26.317272,27.01219
12.5719385,12.363151
36.436035,36.257683
10.952679,10.517842
15.554555,15.564979
31.624146,31.285086
40.81308,40.449707
12.881249,11.725553
30.408579,30.193056
21.599125,21.649176
11.770508,11.363231
36.25242,36.095535
24.116055,24.48012
37.590485,37.004753
17.566927,17.380886
32.24976,32.82908
8.350994,8.538364
19.069191,19.12064
13.897781,13.583026
22.404415,22.556025
36.08952,36.365234
37.15125,37.161934
14.989924,14.733186
34.741024,34.74784
8.422647,8.791009
16.805157,16.615686
40.809917,40.47387
12.665375,12.391267
32.32415,32.991444
19.864845,19.312777
